ticker,avg_return,volatility,cumulative_return,sharpe_ratio,rvi_Conservador,rvi_Moderado,rvi_Arrojado
INEP3,0.06566497831922735,0.05684599620278601,0.4202898876227852,0.4145280400480194,0.09349609879895349,0.3438735294906169,0.09966938628046243
CSNA3,0.06476438743940816,0.03424446688189588,0.4136808256065174,0.25471877970464923,0.05934389021992244,0.2136759091958498,0.08070783461018104
KLBN11,0.06383228121208084,0.01939386242533722,0.4068670235681284,0.12170649171019197,0.03406896723249706,0.10568780773189539,0.0651758603832176
CSRN3,0.06017181192956489,0.027255859605278723,0.38036816276915864,0.18792337030162287,0.046614205907341756,0.15908146339478269,0.06965537253434208
PTNT3,0.06004505006886807,0.03940775547722751,0.3794578831042914,0.2661488928756454,0.06414559867623336,0.2228643948551259,0.07859170489038175
PFRM3,0.059772178939986764,0.02960590245602534,0.37750005722045166,0.2035014228016949,0.05001208213898844,0.17173894638095713,0.07112847567776144
RRRP3,0.05963402573705556,0.030902439729740837,0.3765096882221526,0.27644546840877493,0.05832990119837572,0.2302100212736996,0.07844201140349603
SUZB3,0.05853514364467993,0.023908614325064314,0.36865295128118314,0.1495820069776063,0.039938606522280075,0.12790998137905946,0.06417717704601102
BMIN3,0.057135018092869805,0.04612246795245526,0.35869562752643436,0.2770977012878519,0.07032124630003637,0.23200390963481402,0.07803003139832655
BEEF3,0.05637510718908656,0.02824632209727767,0.3533162230341498,0.18735907679940783,0.046970476076671576,0.1583494043681627,0.0666606256409378
RECV3,0.056272432114707005,0.030129967980576853,0.35259072598268126,0.2883637509866693,0.058567592694599116,0.2393312407988638,0.07686731758849022
ABCB4,0.055906984109328706,0.02132878251929193,0.3500110714482847,0.11753362329016888,0.0344070867553833,0.10175047529499717,0.058611827868409044
EGIE3,0.054576901441427905,0.015139939222837464,0.3406561592277466,0.04089853791299974,0.021659495313712737,0.039690514396826325,0.04926536886672605
HOOT4,0.054528127806554805,0.045024394911297276,0.3403141295902399,0.29002576117061313,0.07047490482675461,0.24197586120827572,0.07712751785343488
SAPR11,0.05392240063345155,0.02032360634160315,0.33607236126694806,0.10072705511493202,0.03172383064812088,0.0880062447894511,0.05524298665241476
BRAP4,0.053435251030808706,0.024357796340641245,0.33266894414153314,0.14322195628064757,0.03915195780365863,0.12235686976166306,0.05950617608677585
AFLT3,0.05246706279000901,0.07153062112920659,0.32592587425221375,0.342019126427368,0.09667311582510299,0.286015069533816,0.08332862498766468
ELET6,0.05226909979439465,0.02535341926872448,0.3245505816940546,0.14961378780868545,0.0404710241752876,0.1274532821532603,0.05931200054325672
PORT3,0.05112422128721916,0.016195548181296936,0.3166197472322403,0.24325148469790323,0.04239400914354979,0.20133316470517418,0.06684408031769534
GGPS3,0.05007655386298149,0.022680495171305624,0.3093964239763505,0.21235236981454542,0.044387288504797194,0.17715760075506506,0.0635645295889703
MWET3,0.04941373507446123,0.07252589758799376,0.3048432866524238,0.4267683885761693,0.10563893043545806,0.35360867412718094,0.08946041667598528
TIMS3,0.04924755290064331,0.018938917428270457,0.3037037571943624,0.07061042472072794,0.02713693170475349,0.06330698680947373,0.04835297653541449
BMIN4,0.0485118591465894,0.03691167539083503,0.2986688071708661,0.23766019350317485,0.058146545577644454,0.19867050825628232,0.06626667420667251
LEVE3,0.048342916576325834,0.026189614727267236,0.29751484664353867,0.14939779057989838,0.040725762497436216,0.126971485594278,0.056233073791777236
CSRN5,0.047634184496417875,0.025818438910404407,0.29268300341822706,0.13889203816948376,0.03930737339491369,0.11845889287626923,0.05457839530512312
TXRX4,0.04684099087185012,0.08622588131953272,0.2872928162240582,0.4442037183028973,0.11808517597310092,0.36866966186145617,0.09051575265972311
