ticker,avg_return,volatility,cumulative_return,sharpe_ratio,rvi_Conservador,rvi_Moderado,rvi_Arrojado
MMAQ3,2.070692205228587,21.965146200654242,849.0033365885416,0.41049118350078845,17.82023529939633,2.731976787388914,3.8941175025983727
HETA3,0.6958344728638091,0.16737360473437726,22.940148259485017,0.5220661071054351,0.25568894178442625,0.5039736934441668,0.6256115494750286
PRIO3,0.642916835053025,0.037717750686897575,18.78563231000122,1.0242600918273594,0.19689189323755651,0.8874715320358798,0.6205312522938456
MMAQ4,0.5785961095194609,0.3767467303636433,14.562126206928212,0.39851098225910053,0.3991080934687708,0.4143430697955909,0.5404026588778431
NUTR3,0.5417108151096857,0.05963511247927302,12.500000099341056,0.7803032494723239,0.17990949644161938,0.684377192336755,0.5173624882829082
DEXP3,0.5411801152757902,0.04040144124062231,12.472084480177225,0.8894537606625302,0.1753845405863299,0.7697211641816655,0.5259296124109475
BMEB4,0.47428384198133866,0.02419634671627826,9.317241800242517,1.0261677031644942,0.1694022318876059,0.8707821814013571,0.4844634785731482
MNPR3,0.45618923577004744,0.04327237823762677,8.57894755554553,0.7774473369198459,0.15798155985909076,0.6719040309366442,0.44702336013178523
BMEB3,0.4428978079882602,0.033429043374292804,8.065155880837466,0.8200128478141772,0.153034300279678,0.703642963387597,0.43966243550945516
RSUL4,0.4386460990639516,0.027666438498381067,7.905737285005957,0.8875881331964522,0.15475657402474524,0.7567017603133951,0.4424423364206446
ODER4,0.4377682245763592,0.07980928012596829,7.873114102769362,0.5309263535772201,0.16071688191613256,0.4764988333320088,0.4112881430314062
MRSA5B,0.38605093766310383,0.04058279476647499,6.119047851519263,0.617854690721387,0.13285679865162908,0.5369471258200675,0.3746844986792693
BPAC3,0.38306877376347104,0.035033907954747555,6.0274521713226115,0.7270596017812356,0.13903996391826873,0.6234579495968104,0.3826643699843752
WLMM4,0.35090483033988806,0.029747059780698068,5.100393747350642,0.7271887207500795,0.1316070029335552,0.6198161656121222,0.35641744232498823
CTKA4,0.3503245588402364,0.05420325488536395,5.0846561307098845,0.6724352457840516,0.14563858437071997,0.5784009779998013,0.3529234971391307
WEGE3,0.34100449999111415,0.022783233774346347,4.83648526769395,0.8031279816270976,0.13263983518129827,0.6788811586782242,0.3553947215330357
BRGE5,0.32475042391364606,0.07006306262029419,4.423868289338892,0.6002182020079868,0.14854731268839866,0.5196559102597835,0.326828465593745
MRSA3B,0.3210466763238533,0.04484151827726076,4.333333333333333,0.5783700014114941,0.12581488239534336,0.4992848205893067,0.3191584930279582
GPAR3,0.31642884231229407,0.26611762656691496,4.222222222222221,0.45257823972235683,0.2897948094569971,0.4203172386658064,0.3250126604787624
FRIO3,0.3130234227319506,0.05369173572010527,4.141525527178233,0.6255349567010183,0.1368092265193811,0.5370994812060202,0.3183414074276728
WLMM3,0.3056343655128435,0.04135679324496453,3.9700000762939407,0.5741978313729773,0.12106865428455371,0.49405738097416263,0.306062954872069
TEKA3,0.30016200771523294,0.12010799653340745,3.846065881601713,0.6400800620176738,0.19011060420001663,0.554091050039003,0.3161484120272945
NORD3,0.2988849620041689,0.1357560336204559,3.8175181617962473,0.7299091397894798,0.2114842370757296,0.6273914113940463,0.3256744869443287
CEDO3,0.28353942486659145,0.05779948493801639,3.4852939918379597,0.5786490590566675,0.13245843634273902,0.49705313822579483,0.2904763942927416
CTKA3,0.28311968919567065,0.06291497943422966,3.4764826149945582,0.5683194559074171,0.1354758980576925,0.4892590315889237,0.2896191948907012
BRGE12,0.2830529618439366,0.035332890632023724,3.4750831593709366,0.5816848429390169,0.11474009298391433,0.4971864595988096,0.28814414283225337
BPAC11,0.28068724637570375,0.030175765091956106,3.4257027564864826,0.6118802829603132,0.11339736500716657,0.5205905275150166,0.28875540190578997
AMBP3,0.2794718277876418,0.044036407291382,3.4005100815192577,0.7136081020917338,0.1345371188210432,0.6032373051812895,0.299341913168425
FRAS3,0.27850898649950695,0.020683851128912124,3.3806376916697927,0.7019634601172198,0.11459432556480237,0.5914900518566177,0.29507192032421875
ENMT4,0.2748410555923504,0.019379086576865004,3.305618045347252,0.7179339580345241,0.11478077062417946,0.6037691806445409,0.29360414893501924
BRGE7,0.2738358056592034,0.03495661933770213,3.2852458685772685,0.502176982646112,0.10556657430069324,0.43262082861658013,0.27278200472574415
BAUH4,0.2659549043259153,0.017595170062298923,3.1282999068984347,0.730008734669534,0.11367249994938407,0.6123619951744487,0.28752431393391553
MWET4,0.2623469462944257,0.05696644749515807,3.0580646163591085,0.5982678369250531,0.13163463631807434,0.5105456089190009,0.2754009854775617
CPLE5,0.26123887703911186,0.08828062138708803,3.03669513804574,0.44716844826781804,0.14146522964036343,0.3926867084568745,0.2625360085967801
TEKA4,0.25702320998220873,0.06262671901950041,2.9562499523162957,0.5697526587661766,0.13277896209043888,0.4877671199131122,0.26885650576433473
ENMT3,0.24974009380527606,0.016796199622241284,2.820419633658769,0.7076281806077207,0.1091737871390927,0.5927561738289283,0.2722345130672171
ESTR3,0.24862660678683457,0.04837712952842026,2.799999952316284,0.44425530091913124,0.10798989439333279,0.3851046143668305,0.24816452847422282
CEDO4,0.2412307402390541,0.05319411624493644,2.6666666666666763,0.5469447741416643,0.121372844434021,0.46699830496173056,0.25299848122990337
KEPL3,0.23902310549959593,0.022599584589950625,2.627631800235838,0.5820799976621475,0.10018997798813484,0.4918262671386726,0.2516864426248866
BPAC5,0.23166384140567953,0.03232948638618217,2.4999999999999734,0.5278173660707501,0.10181170985658872,0.4486532256357863,0.2413457583702369
