ticker,Cotacao
SANB3,19.242098
BRSR3,24.257822
MYPK3,18.443037
OFSA3,26.78031
OPCT3,17.175692
SRNA3,17.472467
SCAR3,24.994976
BDLL4,-70.966606
AHEB5,47.75515
BBDC3,19.242098
BBDC4,19.242098
BMGB4,17.791876
VTRU3,18.010485
MDIA3,27.56794
ECOR3,18.1737
MELK3,17.175692
CEAB3,18.443037
USIM3,18.061213
DESK3,18.89601
BPHA3,19.222359
BRSR6,19.37079
ALLD3,19.061949
ASAI3,17.175692
RDOR3,22.747889
INEP4,17.26715
LREN3,18.443037
FIQE3,17.175692
YDUQ3,18.89601
DMVF3,17.175692
PGMN3,16.637674
BLAU3,19.277834
CRFB3,28.946875
RAIZ4,20.284632
GUAR3,18.010485
SEER3,17.472467
FIGE3,24.994976
PETZ3,28.946875
NINJ3,17.249102
ARML3,17.175692
CSED3,17.175692
LPSB3,17.472467
BDLL3,-63.60533
BRIT3,16.637674
HBOR3,16.906355
LJQQ3,16.637674
HBRE3,18.1737
ONCO3,17.472467
MTRE3,17.175692
RNEW11,18.1737
RNEW4,16.368338
RNEW3,16.368338
MGLU3,18.010485
LVTC3,17.472467
IRBR3,36.58633
OIBR4,31.225971
ATMP3,17.26715
SLED3,17.26715
SLED4,17.26715
OIBR3,22.097744
AMER3,-63.60533
PDGR3,15.625277
