ticker,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,LPA,Liq.2meses,Pat.Liq,Div.Brut/Pat.,Cresc.5anos,avg_return,volatility,cumulative_return,sharpe_ratio,Earn. Yield
LWSA3,3.45,142.01,0.69,1.437,2.20%,0.486,7.24,16.97,14.64,13.57,6.44,8.46%,1.01%,1.25,3.27%,0.49%,0.024294063798324064,142.01,2800760000.0,0.03,31.96%,-0.0704196697233444,0.0425832605553844,-0.3553398307255918,0.0945759023397085,0.7041757622702627
HAGA3,1.87,5.24,-0.43,0.76,0.00%,0.338,0.67,-15.54,-0.38,1.43,6.05,-4.89%,14.50%,2.34,-7.44%,-8.28%,0.3568702290076336,5.24,-51269500.0,-0.4,-1.48%,-0.0735838843338271,0.0473327294800902,-0.3684210482286514,0.1371454679701303,19.083969465648853
SYNE3,5.33,1.65,0.52,0.583,122.91%,0.214,0.76,1.57,-5.9,1.89,1.63,37.24%,44.92%,11.34,16.74%,31.25%,3.2303030303030305,1.65,1573570000.0,0.54,21.71%,-0.0738694581490525,0.0393832371477524,-0.3695906729538512,0.1028846058972489,60.60606060606061
GRND3,5.33,7.31,1.25,1.901,7.68%,1.126,1.94,10.72,1.96,8.21,7.06,17.74%,26.00%,7.23,14.98%,17.07%,0.7291381668946649,7.31,3854390000.0,0.02,8.16%,-0.0751218523775004,0.02227561554652,-0.3746988026561786,-0.2520296827165265,13.679890560875515
UCAS3,1.82,9.45,0.61,0.544,19.96%,0.324,3.52,43.17,-1.83,62.06,12.56,1.26%,5.76%,1.46,0.89%,6.46%,0.19259259259259262,9.45,197051000.0,0.5,10.13%,-0.0757289866007782,0.030358854806995,-0.3771626688657293,-0.0768017265688224,10.582010582010582
SOJA3,10.09,6.06,1.05,0.791,2.95%,0.477,1.13,7.03,1.42,6.47,6.05,11.26%,17.12%,2.67,9.19%,17.24%,1.665016501650165,6.06,1305840000.0,0.29,25.96%,-0.075880879504748,0.0226590795808279,-0.3777778117908479,-0.3845486387712586,16.5016501650165
BRBI11,12.55,6.77,1.56,3.719,15.54%,0.102,1.74,49.08,1.74,2.21,1.72,7.58%,54.93%,1.06,27.86%,22.99%,1.8537666174298377,6.77,846571000.0,13.68,-50.69%,-0.0771572282985136,0.0256432454338991,-0.3829268478765739,-0.3206829981566944,14.771048744460858
BRSR5,14.8,6.47,0.59,0.0,6.85%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,9.12%,2.287480680061824,6.47,10254100000.0,0.0,7.55%,-0.0772583640609636,0.0262860611693143,-0.3833333253860463,-0.1626305756640424,15.455950540958272
BMOB3,13.57,9.76,1.0,0.804,4.74%,0.77,1.72,10.8,1.87,5.5,3.46,7.44%,8.28%,3.28,13.16%,10.29%,1.3903688524590165,9.76,1156550000.0,0.0,59.14%,-0.0791246552251423,0.0252452037759411,-0.3907942196318834,-0.3028151843456713,10.245901639344263
SANB4,12.75,8.22,1.08,0.0,6.62%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,13.15%,1.5510948905109487,8.22,88425200000.0,0.0,4.36%,-0.0793792028368568,0.0218371685288505,-0.3918059702000971,-0.2798788440067547,12.1654501216545
