ticker,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,LPA,Liq.2meses,Pat.Liq,Div.Brut/Pat.,Cresc.5anos,avg_return,volatility,cumulative_return,sharpe_ratio
CEAB3,10.29,15.9,1.03,0.458,0.00%,0.357,2.57,4.96,-1.74,5.73,2.66,9.22%,2.88%,1.45,9.82%,6.48%,0.6471698113207547,15.9,3080260000.0,0.55,10.95%,-0.1020458998501733,0.0433496262647558,-0.4477778010898171,0.0516257618126866
INEP4,1.89,0.17,-0.07,11.832,0.00%,0.073,-0.08,-1.21,-0.04,-14.11,-15.82,-978.95%,6924.44%,0.09,-6.37%,-41.29%,11.117647058823527,0.17,-1182760000.0,-0.76,-4.42%,-0.1027884694791751,0.0327485730876082,-0.4502924113180501,-2.608513339547851
BDLL4,9.5,0.19,-0.07,0.723,0.00%,0.027,-0.07,-0.41,-0.03,-4.9,-5.2,-175.84%,389.28%,0.55,-7.15%,-39.61%,50.0,0.19,-206703000.0,-0.94,-6.88%,-0.1048256234648317,0.0485940094352782,-0.4571428571428573,0.1178827456068634
BRSR6,11.7,5.67,0.49,0.0,5.12%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,8.62%,2.0634920634920633,5.67,9798830000.0,0.0,4.70%,-0.1126299650543994,0.0220368401243654,-0.4827435356795037,-0.3783795080349201
BBDC3,11.55,8.17,0.77,0.0,10.32%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,9.37%,1.4137086903304774,8.17,160563000000.0,0.0,-14.68%,-0.1159089504280777,0.0220930791082363,-0.4932004083578967,-0.3874759719383641
BBDC4,12.67,8.96,0.84,0.0,10.35%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,9.37%,1.4140624999999998,8.96,160563000000.0,0.0,-14.68%,-0.12041135165476,0.0230387789463123,-0.5072762533246408,-0.3705594863361967
ARML3,10.84,19.75,2.96,2.577,3.30%,0.796,3.4,7.58,-2.41,10.68,7.74,33.99%,13.05%,2.4,16.06%,14.96%,0.5488607594936709,19.75,1270840000.0,2.27,65.29%,-0.1207046060325692,0.0358028655000334,-0.5081818320534442,-0.2720857054103477
DMVF3,7.51,15.83,0.44,0.208,0.00%,0.238,5.91,17.55,-1.67,17.02,2.85,1.19%,1.32%,1.15,1.71%,2.75%,0.474415666456096,15.83,871887000.0,0.05,23.68%,-0.1228490180973536,0.0280288413880367,-0.5147625173427326,-0.3652614647840849
YDUQ3,11.9,23.88,1.15,0.694,4.61%,0.383,4.95,4.54,-0.9,9.94,4.96,15.29%,2.94%,1.48,9.46%,4.82%,0.4983249581239531,23.88,3197080000.0,1.62,10.00%,-0.1229565316607251,0.0369239018511778,-0.5150905430279031,-0.0599285456108762
MYPK3,11.58,18.29,0.47,0.122,1.86%,0.124,0.7,2.22,-0.59,7.18,4.54,5.50%,1.29%,1.54,7.98%,2.57%,0.633132859486058,18.29,3787200000.0,1.65,14.35%,-0.1242297126768865,0.0286411621558808,-0.5189612544850393,-0.2284574115556168
