ticker,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,LPA,Liq.2meses,Pat.Liq,Div.Brut/Pat.,Cresc.5anos,avg_return,volatility,cumulative_return,sharpe_ratio
CPLE5,14.0,19.3,1.71,1.955,3.43%,0.753,10.87,11.88,-2.45,14.51,10.39,16.45%,10.41%,1.39,7.40%,8.86%,0.7253886010362695,19.3,24417600000.0,0.62,6.54%,0.3572154045424334,0.0914564538996733,4.392531908506255,0.5007533187119607
CTKA4,20.0,2.84,-1.22,0.189,0.00%,0.195,0.71,2.51,-0.42,11.2,8.12,7.51%,6.65%,1.66,9.93%,-43.04%,7.042253521126761,2.84,-101578000.0,-4.8,18.58%,0.3525474804359301,0.0551848969355895,4.291005331052074,0.6762013298029773
LOGN3,40.94,146.39,4.62,1.832,0.00%,1.21,12.95,19.42,-2.72,24.2,11.89,9.43%,1.25%,1.47,7.47%,3.15%,0.27966391146936265,146.39,951618000.0,1.69,25.25%,0.3492471272617665,0.0358275573855782,4.220171959324441,0.6845008755537487
MRSA3B,31.0,7.65,1.56,1.53,0.00%,0.593,8.16,3.78,-1.54,5.08,3.8,40.53%,20.01%,1.44,19.72%,20.44%,4.052287581699346,7.65,6701670000.0,0.99,22.21%,0.3467297493812609,0.0460106519933777,4.166666666666667,0.6024353522789044
BPAC11,31.71,11.51,2.34,0.0,3.74%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,20.33%,2.7549956559513467,11.51,51962100000.0,0.0,51.65%,0.3453413329661263,0.0310591075504602,4.1373494027585584,0.7096953663758747
WLMM3,25.0,7.75,1.25,0.332,5.15%,1.031,2.2,5.92,2.6,5.73,5.54,5.60%,4.28%,5.56,19.07%,16.12%,3.225806451612903,7.75,728425000.0,0.03,26.88%,0.3387489813645903,0.0429278878383971,3.999999999999997,0.6101496095149973
WEGE3,44.05,32.14,10.62,5.63,1.58%,5.781,18.87,25.0,24.75,24.48,22.52,22.52%,18.03%,1.84,31.99%,33.05%,1.3705662725575605,32.14,17407300000.0,0.15,24.33%,0.3365816167505524,0.0231282335672095,3.955506159208655,0.7875448413289278
BRGE12,13.47,33.84,0.75,279.047,0.00%,0.332,0.87,-1.42,1.68,0.86,0.88,-19636.90%,1381.29%,3.06,-50.03%,2.21%,0.3980496453900709,33.84,1324180000.0,0.0,-45.61%,0.3121025945851106,0.0368815875608659,3.4750831593709366,0.6184249218315527
CTKA3,21.6,3.07,-1.32,0.204,0.00%,0.21,0.76,2.71,-0.45,11.4,8.26,7.51%,6.65%,1.66,9.93%,-43.04%,7.035830618892509,3.07,-101578000.0,-4.8,18.58%,0.3090086625591477,0.0654520215432851,3.4171781127252894,0.5957353578525271
FRIO3,250.0,75.43,4.63,0.814,0.00%,0.865,12.43,16.18,-12.48,22.08,13.55,5.03%,1.92%,1.11,7.80%,6.14%,3.314331167970303,75.43,339515000.0,2.16,7.87%,0.303852125415186,0.0469990873576268,3.3220338983050857,0.5966753609826877
FRAS3,20.12,13.73,2.76,1.602,3.01%,1.305,3.58,9.82,14.73,9.56,7.72,16.31%,12.01%,2.48,21.60%,20.10%,1.4654042243262928,13.73,1968450000.0,0.56,25.54%,0.3031020974107072,0.0211694596122479,3.308335873416441,0.7510141079420171
BRGE7,13.07,32.83,0.73,270.76,3.65%,0.322,0.84,-1.38,1.63,0.9,0.92,-19636.90%,1381.29%,3.06,-50.03%,2.21%,0.3981114833993299,32.83,1324180000.0,0.0,-45.61%,0.3018333856432296,0.0364895067425557,3.2852458685772685,0.5355323339219664
BPAN4,8.31,14.66,1.31,0.0,2.59%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,8.92%,0.5668485675306958,14.66,8062790000.0,0.0,13.83%,0.297380182785449,0.0400726111342788,3.2049999237060787,0.6117385788156041
ENMT3,85.0,12.18,4.88,2.364,5.44%,1.389,31.05,7.73,-3.11,9.54,8.52,30.58%,19.41%,1.2,20.48%,40.09%,6.9786535303776684,12.18,3811240000.0,1.42,12.66%,0.2972769153127164,0.0166525696339793,3.2031537649765767,0.8543339721641788
BAUH4,79.0,21.21,3.76,1.827,1.04%,2.409,24.83,29.25,30.88,27.12,19.23,6.25%,8.62%,1.29,13.85%,17.71%,3.7246581801037246,21.21,109814000.0,0.03,5.13%,0.2954761050961274,0.0183512993581315,3.171066408258202,0.7914705907637019
BPAC5,8.1,8.82,1.79,0.0,4.89%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,20.33%,0.9183673469387754,8.82,51962100000.0,0.0,51.65%,0.2903027522131649,0.0330826340273582,3.0799999237060307,0.6175064758298199
CEDO3,27.3,3.42,1.28,0.258,0.00%,0.313,2.3,1.26,-1.3,2.88,2.6,20.44%,7.79%,1.36,27.48%,37.29%,7.982456140350878,3.42,213854000.0,1.68,15.31%,0.2865349738999043,0.059481744874766,3.0147056575465108,0.5847135707516102
BAZA3,98.43,4.36,0.9,0.0,6.71%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,20.69%,22.575688073394495,4.36,6113980000.0,0.0,20.71%,0.2864209824818928,0.0239291550679285,3.012743643135485,0.6695450369076016
KEPL3,9.78,6.89,2.25,1.12,10.41%,1.25,4.01,6.39,6.06,5.85,5.15,17.52%,16.26%,1.92,27.98%,32.72%,1.4194484760522497,6.89,779763000.0,0.22,32.22%,0.2769610125712758,0.0228333567185874,2.8526320802208445,0.66417798424427
HBTS5,38.08,1.33,0.51,1.096,7.98%,0.218,4.26,2.04,-0.5,3.26,3.24,53.62%,82.49%,1.59,10.95%,38.57%,28.631578947368418,1.33,678756000.0,0.36,107.50%,0.2742666881941922,0.1126365541862059,2.8080001831054657,0.4575320698236079
ENMT4,74.55,10.68,4.28,2.074,6.20%,1.219,27.23,6.78,-2.73,8.59,7.67,30.58%,19.41%,1.2,20.48%,40.09%,6.980337078651686,10.68,3811240000.0,1.42,12.66%,0.2739965917912947,0.0190604636845275,2.803549441664172,0.7222593522875402
CEDO4,22.59,2.83,1.06,0.214,0.00%,0.259,1.9,1.05,-1.07,2.66,2.4,20.44%,7.79%,1.36,27.48%,37.29%,7.982332155477032,2.83,213854000.0,1.68,15.31%,0.2716463018685704,0.0546373827780063,2.7650000254313256,0.5796520825987131
EUCA4,15.98,3.71,0.6,0.561,5.76%,0.356,2.19,3.9,-7.06,5.47,3.29,14.37%,15.10%,1.83,9.95%,16.18%,4.307277628032345,3.71,2463670000.0,0.3,14.57%,0.2690723930108616,0.0339908563690899,2.7231503981931726,0.5798682849502943
SHUL4,6.48,8.82,1.76,1.225,5.70%,0.958,2.28,10.31,4.61,9.53,7.38,11.89%,13.88%,2.74,15.18%,19.89%,0.7346938775510204,8.82,1319420000.0,0.47,19.16%,0.2649439601143402,0.0242020042433347,2.65682130967112,0.6242387219363098
RPAD3,8.8,45.82,0.69,0.0,0.00%,0.683,14.51,-137.77,14.54,-127.89,-127.89,0.00%,0.00%,14.69,-0.52%,1.50%,0.19205587079877784,45.82,1087490000.0,0.0,-90.37%,0.2635632084865718,0.038881287384836,2.6348547373028053,0.5428878160534123
CEBR3,20.93,8.64,1.43,4.25,9.07%,1.018,2.12,12.21,2.33,6.59,6.2,34.81%,63.31%,8.05,16.00%,16.60%,2.4224537037037037,8.64,1051840000.0,0.0,-41.30%,0.261698302836751,0.0371399027955621,2.6053572996234524,0.5898417277986593
POSI3,8.45,3.95,0.73,0.284,4.95%,0.27,0.72,3.01,1.92,4.95,4.33,9.43%,7.27%,1.96,12.36%,18.40%,2.1392405063291138,3.95,1648030000.0,0.84,24.45%,0.2562843909163921,0.0419384406322208,2.52083311395514,0.5703313855600819
SOND6,55.0,26.4,2.33,0.823,9.17%,1.401,3.82,5.63,5.59,4.41,3.77,14.64%,3.17%,2.29,36.75%,8.83%,2.0833333333333335,26.4,58004000.0,0.0,30.94%,0.2508415730034303,0.0249653785746056,2.4374999999999987,0.5769809292129066
STBP3,14.26,20.33,5.55,5.237,4.65%,2.521,-175.25,13.15,-6.68,13.24,10.66,39.84%,25.76%,0.92,21.75%,27.33%,0.7014264633546483,20.33,2218490000.0,0.24,27.20%,0.2466290185560022,0.0302051400374958,2.3741176829618538,0.5557689823474422
BRGE3,13.5,33.91,0.75,279.668,0.00%,0.333,0.87,-1.42,1.69,0.86,0.87,-19636.90%,1381.29%,3.06,-50.03%,2.21%,0.3981126511353583,33.91,1324180000.0,0.0,-45.61%,0.245561520645845,0.0531504081397821,2.3582089711574024,0.5496947652059202
DIRR3,27.41,11.24,2.26,1.927,7.55%,0.604,2.01,10.52,-2.11,11.02,9.67,18.32%,19.60%,3.39,6.88%,20.10%,2.438612099644128,11.24,2105010000.0,0.67,15.71%,0.2403382183770901,0.0293013416433118,2.281249824397103,0.546897029150321
BRGE8,13.17,33.08,0.73,272.832,2.59%,0.324,0.85,-1.39,1.65,0.89,0.91,-19636.90%,1381.29%,3.06,-50.03%,2.21%,0.3981257557436518,33.08,1324180000.0,0.0,-45.61%,0.2399864601443047,0.0477661677970505,2.2761194375077007,0.4952975453699044
CPLE6,9.98,13.76,1.22,1.393,3.81%,0.537,7.75,8.47,-1.75,11.1,7.95,16.45%,10.41%,1.39,7.40%,8.86%,0.7252906976744187,13.76,24417600000.0,0.62,6.54%,0.2376634081939062,0.0223174994725769,2.2424024166747856,0.5809718759965555
MRSA6B,30.99,7.64,1.56,1.53,2.87%,0.593,8.16,3.77,-1.54,5.08,3.8,40.53%,20.01%,1.44,19.72%,20.44%,4.056282722513089,7.64,6701670000.0,0.99,22.21%,0.2362073129047923,0.0362738855471466,2.221413735943838,0.4883274949023194
TOTS3,30.18,24.27,3.89,3.98,1.46%,2.064,9.56,11.33,-32.87,10.79,9.15,35.12%,16.97%,2.36,26.07%,16.03%,1.2435105067985166,24.27,4786840000.0,0.35,19.24%,0.2308074104981481,0.026142039218087,2.14454628354376,0.5402420480746003
CEBR6,19.4,8.01,1.33,3.939,10.76%,0.943,1.96,11.32,2.16,5.7,5.36,34.81%,63.31%,8.05,16.00%,16.60%,2.4219725343320846,8.01,1051840000.0,0.0,-41.30%,0.2288376402183023,0.0321082514723654,2.1168833179445032,0.5352019961282531
LUXM4,13.99,15.45,2.33,2.088,1.59%,1.696,-114.25,11.67,-11.27,11.45,7.4,17.90%,13.52%,0.89,15.72%,15.05%,0.9055016181229774,15.45,125057000.0,0.02,6.04%,0.2282657195074238,0.0223491824413774,2.1088888380262603,0.5534134460471858
EQPA3,7.08,7.01,3.08,1.498,10.73%,1.07,10.86,4.78,-2.98,5.89,5.19,31.34%,21.37%,1.5,26.38%,43.96%,1.0099857346647647,7.01,5075140000.0,0.96,17.69%,0.2270611122252079,0.027668501946379,2.092105385614344,0.5209547367346126
RANI3,8.79,6.18,1.6,1.342,8.50%,0.606,2.51,5.2,-2.09,7.7,5.82,25.79%,21.71%,3.71,14.73%,25.84%,1.4223300970873787,6.18,1320340000.0,1.23,16.04%,0.2258713185032794,0.0377109899134821,2.075601218310707,0.5087758461301837
BNBR3,116.0,4.78,0.89,0.0,4.98%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,18.55%,24.26778242677824,4.78,11299100000.0,0.0,14.35%,0.2242650908850505,0.025576640440472,2.053434979597549,0.5282721628564537
BRGE11,13.18,33.11,0.73,273.039,3.10%,0.325,0.85,-1.39,1.65,0.89,0.91,-19636.90%,1381.29%,3.06,-50.03%,2.21%,0.39806704922983993,33.11,1324180000.0,0.0,-45.61%,0.2205213554552008,0.0449572957463604,2.0022780651533343,0.4919620055517616
MTSA4,44.49,5.52,0.88,0.764,4.45%,0.708,1.17,10.41,1.21,6.97,5.16,7.34%,13.83%,4.52,10.16%,15.85%,8.059782608695652,5.52,446721000.0,0.07,19.27%,0.2204513907438916,0.0258499290756982,2.0013287439526475,0.5180365469881424
SOND5,60.0,28.8,2.54,0.898,8.41%,1.528,4.17,6.14,6.1,4.92,4.21,14.64%,3.17%,2.29,36.75%,8.83%,2.0833333333333335,28.8,58004000.0,0.0,30.94%,0.2202428583743527,0.0286077691041246,1.9985007153272176,0.5039867700604982
CPLE3,8.91,12.28,1.09,1.244,3.88%,0.479,6.92,7.56,-1.56,10.19,7.3,16.45%,10.41%,1.39,7.40%,8.86%,0.72557003257329,12.28,24417600000.0,0.62,6.54%,0.2178843007076125,0.0218890131953948,1.9666665395100789,0.5392448426681191
ELET5,96.57,50.76,1.98,6.076,0.00%,0.843,13.56,22.08,-2.09,26.34,19.25,27.52%,11.78%,1.57,4.13%,3.90%,1.902482269503546,50.76,112582000000.0,0.54,6.61%,0.2172937885451011,0.021801003383165,1.9587396861487352,0.5292661101880578
TXRX3,9.5,7.82,-0.12,0.358,0.00%,0.214,-0.23,-2.15,-0.09,-18.1,-20.75,-16.64%,4.58%,0.3,-10.32%,-1.58%,1.2148337595907928,7.82,-328381000.0,-0.91,10.42%,0.2112641812658704,0.0963025281279644,1.878787920385248,0.6410060287301853
CSUD3,19.71,8.91,1.84,1.535,5.50%,1.225,20.81,6.93,-24.74,6.99,4.57,22.15%,17.23%,1.26,21.92%,20.67%,2.2121212121212124,8.91,447312000.0,0.22,5.40%,0.2089496592458333,0.0278284549497954,1.8485715048653804,0.4903117351402039
MILS3,11.26,9.85,1.82,1.955,2.88%,0.899,3.75,5.58,-8.11,6.52,4.47,35.01%,19.88%,2.55,22.82%,18.47%,1.1431472081218275,9.85,1511550000.0,0.78,33.42%,0.1977403886964845,0.0343116415426019,1.7058823529411835,0.4742925658350322
EALT3,10.93,4.53,0.98,0.477,4.22%,0.431,9.86,4.03,-2.83,5.9,4.36,11.85%,10.53%,1.12,11.46%,21.53%,2.4128035320088297,4.53,252047000.0,0.5,20.66%,0.1966337133470872,0.0784297787767117,1.6921183397093658,0.5069640713161729
EMAE4,47.2,11.32,1.57,2.819,4.44%,0.823,2.27,29.04,-22.61,21.77,19.48,9.71%,24.90%,5.73,3.59%,13.87%,4.169611307420495,11.32,1110980000.0,0.0,8.83%,0.1948723031917663,0.0312369858685847,1.6703294745506274,0.4661816375301441
BSLI4,10.11,17.91,1.42,0.0,1.79%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,7.93%,0.5644891122278056,17.91,2582440000.0,0.0,5.39%,0.1945133715425924,0.0771113733041943,1.665907203966159,0.4765480948702095
BSLI3,10.02,17.76,1.41,0.0,1.65%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,7.93%,0.5641891891891891,17.76,2582440000.0,0.0,5.39%,0.1933466483718793,0.0598456228029384,1.651573820624289,0.4361946456626058
MGEL4,13.12,3.82,2.25,0.083,0.00%,0.102,0.46,1.08,-0.22,9.25,7.12,7.62%,2.16%,1.82,10.47%,58.79%,3.4345549738219896,3.82,33770000.0,18.85,15.35%,0.188941187498451,0.0392967610405149,1.5980196811932976,0.4725481244721881
CEBR5,18.38,7.59,1.26,3.732,10.33%,0.894,1.86,10.72,2.04,5.11,4.8,34.81%,63.31%,8.05,16.00%,16.60%,2.421607378129117,7.59,1051840000.0,0.0,-41.30%,0.1872305383295249,0.0318530430445941,1.577464715896714,0.4603393341346699
JBSS3,30.82,33.55,1.55,0.187,0.00%,0.335,2.24,7.14,-0.84,15.41,7.23,2.62%,0.68%,1.68,6.01%,4.61%,0.9186289120715351,33.55,44205300000.0,2.19,13.88%,0.1864480010044344,0.0259424829522385,1.5681063267657351,0.4474299265795346
RPAD6,8.75,45.56,0.68,0.0,0.00%,0.679,14.43,-136.99,14.46,-127.11,-127.11,0.00%,0.00%,14.69,-0.52%,1.50%,0.192054433713784,45.56,1087490000.0,0.0,-90.37%,0.1862700707678533,0.0390256337675858,1.565982340105561,0.4466206094663479
EALT4,11.11,4.61,0.99,0.485,4.57%,0.438,10.03,4.1,-2.88,5.96,4.41,11.85%,10.53%,1.12,11.46%,21.53%,2.40997830802603,4.61,252047000.0,0.5,20.66%,0.1835838496467354,0.0269740115528766,1.53409076746832,0.4425320246010281
EQPA7,8.24,8.16,3.59,1.744,9.22%,1.245,12.64,5.56,-3.47,6.68,5.89,31.34%,21.37%,1.5,26.38%,43.96%,1.0098039215686274,8.16,5075140000.0,0.96,17.69%,0.178487259616997,0.0433684176218775,1.4744744624341115,0.4524017993374304
SBSP3,85.1,16.16,1.9,2.2,1.69%,0.894,29.64,8.87,-2.45,11.28,7.82,24.82%,13.62%,1.23,11.24%,11.73%,5.266089108910891,16.16,30680700000.0,0.72,10.17%,0.1765265437503724,0.0246140104147953,1.451847519986091,0.4299626641786851
BRIV3,12.86,71.86,0.68,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,0.95%,0.17895908711383243,71.86,1671490000.0,0.0,-44.72%,0.1763243413789301,0.0435501161113577,1.4495237441289928,0.4294211557298994
ETER3,6.23,3.65,0.5,0.35,6.76%,0.3,1.26,7.62,6.82,9.88,5.44,4.60%,9.59%,2.16,4.22%,13.69%,1.7068493150684934,3.65,769884000.0,0.17,22.63%,0.1720646971119068,0.0486727366021166,1.4009880042190153,0.4762653058184835
PATI3,25.06,25.48,0.7,0.326,0.18%,0.376,0.83,9.3,1.33,10.02,8.29,3.50%,1.28%,2.52,6.64%,2.75%,0.9835164835164835,25.48,855442000.0,0.47,13.99%,0.1703537867132687,0.0316530500587828,1.3817163556169558,0.4146281703729776
MOAR3,395.0,5.24,3.06,0.0,7.37%,1.601,3.77,-193.23,30.0,-157.83,-162.49,0.00%,0.00%,5.04,-1.71%,58.43%,75.38167938931298,5.24,1581850000.0,0.42,-99.45%,0.169520157463564,0.0185347549830387,1.3723723723723755,0.4405495225684053
RADL3,25.14,41.11,7.11,1.229,1.15%,2.091,11.86,20.45,-17.43,21.6,11.96,6.01%,3.08%,1.43,14.42%,17.30%,0.611530041352469,41.11,6071650000.0,0.47,18.06%,0.1639033708991986,0.0196968322284852,1.3101941302194868,0.4157057181517496
BEES4,9.71,8.33,1.35,0.0,6.74%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,16.21%,1.1656662665066027,8.33,2271980000.0,0.0,12.49%,0.1631888637138436,0.0201752929837111,1.3023810751043587,0.4104197034936134
CURY3,21.95,12.06,6.37,2.048,9.96%,1.877,5.02,8.96,33.26,8.38,8.08,22.86%,17.76%,2.09,32.10%,52.79%,1.820066334991708,12.06,1006210000.0,0.6,35.00%,0.1609475307296171,0.0264693923074159,1.278012595154463,0.5599827771779118
EQTL3,33.63,17.67,1.81,0.951,1.33%,0.385,6.24,4.23,-0.75,8.07,6.66,22.51%,7.78%,1.36,10.50%,10.24%,1.9032258064516128,17.67,21396000000.0,2.07,22.45%,0.1570357935707602,0.0185215316046495,1.235988946926374,0.4023854278469745
BEES3,8.99,7.71,1.25,0.0,7.28%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,16.21%,1.1660181582360571,7.71,2271980000.0,0.0,12.49%,0.150874248145342,0.0145050704016594,1.1710843426099022,0.417527292341066
VULC3,15.24,8.37,2.09,1.472,18.83%,1.44,2.95,7.82,3.47,7.54,6.35,18.82%,17.58%,3.04,24.19%,24.97%,1.82078853046595,8.37,2002700000.0,0.21,25.98%,0.1495332577376775,0.0264341934935788,1.1571650696372795,0.3737405668551048
EKTR3,38.69,7.8,2.32,0.861,21.55%,0.646,11.04,3.63,-1.6,5.9,5.01,23.73%,11.03%,1.23,21.22%,29.71%,4.96025641025641,7.8,3235000000.0,1.79,7.24%,0.1487863837635668,0.0337037491695971,1.1494443681504989,0.3662310112197209
ENAT3,22.37,131.1,1.43,3.381,0.00%,0.676,4.27,24.63,-2.89,29.13,6.56,13.73%,2.58%,2.17,3.74%,1.09%,0.1706331045003814,131.1,4154130000.0,0.74,17.84%,0.146441447863844,0.0327997370292072,1.1253508143299515,0.3893529114786171
JHSF3,4.25,5.76,0.58,1.884,8.20%,0.241,1.38,5.08,-0.99,9.74,8.92,37.06%,36.13%,2.33,5.35%,10.10%,0.7378472222222222,5.76,4959010000.0,0.81,20.75%,0.1464071439952627,0.0311837250166522,1.125000000000017,0.3794570114591307
TASA4,12.43,11.55,1.4,0.886,3.25%,0.723,4.24,8.84,10.11,10.4,8.65,10.02%,7.67%,1.45,9.80%,12.09%,1.0761904761904761,11.55,1128000000.0,0.47,12.69%,0.1428252079307528,0.0399575189095516,1.088628717605478,0.4109716465400461
TECN3,5.29,5.93,0.88,1.008,3.00%,0.548,1.07,5.9,2.07,5.52,6.6,17.08%,17.00%,4.94,12.22%,14.89%,0.8920741989881956,5.93,396632000.0,0.23,7.10%,0.1427416383884421,0.0389560022713825,1.0877862706564168,0.4051050524642684
SLCE3,19.12,14.62,1.71,1.054,4.63%,0.55,2.85,5.87,-3.06,8.02,6.91,17.96%,7.36%,1.67,11.33%,11.73%,1.307797537619699,14.62,4943790000.0,1.01,29.06%,0.1419258232796179,0.0228303140146474,1.0795768148246956,0.3505126534670696
FESA3,13.68,16.53,1.5,2.169,3.44%,1.181,4.32,18.71,7.34,17.03,9.31,11.59%,13.13%,3.82,7.88%,9.05%,0.8275862068965516,16.53,3231320000.0,0.08,18.14%,0.141635365406811,0.0325016770591495,1.0766603578185985,0.372395930234612
TRPL3,34.41,8.29,1.26,3.423,6.41%,0.597,4.95,6.63,-1.79,8.85,8.78,51.66%,42.17%,3.08,9.79%,15.18%,4.150784077201448,8.29,18016200000.0,0.58,18.52%,0.1361876256184007,0.0197092836949564,1.022577460278439,0.3367497422544611
EKTR4,39.5,7.96,2.37,0.879,23.22%,0.66,11.27,3.7,-1.63,5.98,5.07,23.73%,11.03%,1.23,21.22%,29.71%,4.9623115577889445,7.96,3235000000.0,1.79,7.24%,0.1351854567051704,0.0290398476219913,1.0127551017925716,0.3490504907906826
CGAS5,112.65,5.91,17.32,1.005,10.74%,0.996,546.25,5.53,-1.76,7.59,6.21,18.18%,17.00%,1.0,23.96%,292.91%,19.060913705583758,5.91,861744000.0,9.4,17.30%,0.1345355998809934,0.0258259580910023,1.0064066889328318,0.3370365954139161
BRIV4,12.54,70.08,0.66,0.0,5.22%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,0.95%,0.17893835616438356,70.08,1671490000.0,0.0,-44.72%,0.1325717725074284,0.0280813666641122,0.9873217235449244,0.3377545164278088
TKNO4,70.0,5.12,0.7,0.733,5.92%,0.551,1.43,5.39,1.59,3.81,3.27,13.60%,14.33%,3.23,13.64%,13.66%,13.671875,5.12,295436000.0,0.01,16.74%,0.1299300398579894,0.021296978399042,0.9618833912914968,0.3206280980943362
UNIP6,51.55,9.95,2.33,1.31,5.36%,0.829,2.62,8.1,-5.87,8.61,6.34,16.17%,13.22%,2.73,16.08%,23.37%,5.180904522613066,9.95,2532350000.0,1.04,12.95%,0.1286243803617419,0.0264458767189123,0.9494094668468672,0.3302752712262424
PINE4,4.3,4.24,0.84,0.0,10.61%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,19.75%,1.0141509433962264,4.24,1079860000.0,0.0,55.65%,0.1269315427306054,0.03819292898921,0.9333332909478104,0.3702267593377016
UNIP3,50.98,9.84,2.3,1.296,4.93%,0.82,2.6,8.01,-5.81,8.52,6.27,16.17%,13.22%,2.73,16.08%,23.37%,5.180894308943089,9.84,2532350000.0,1.04,12.95%,0.1261580993679121,0.0215779196271482,0.9260244349548244,0.3103352729332104
