ticker,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,Liq.2meses,Pat.Liq,Div.Brut/Pat.,Cresc.5anos
MGEL4,13.12,3.82,2.25,0.083,0.00%,0.102,0.46,1.08,-0.22,9.25,7.12,7.62%,2.16%,1.82,10.47%,58.79%,3.82,33770000.00,18.85,15.35%
MTBR3,0.99,3.84,0.66,0.128,0.00%,0.166,5.73,1.83,-2.86,1.23,1.02,7.02%,3.36%,1.04,23.08%,17.31%,3.84,2239720000.00,0.60,8.48%
PTPA4,80.00,3.86,1.19,0.528,0.00%,0.392,2.38,3.79,-1.33,7.23,5.45,13.93%,13.69%,1.79,13.27%,30.85%,3.86,1201690000.00,1.59,18.08%
RANI4,5.50,3.87,1.00,0.840,0.00%,0.379,1.57,3.26,-1.31,5.76,4.35,25.79%,21.71%,3.71,14.73%,25.84%,3.87,1320340000.00,1.23,16.04%
VALE5,33.36,3.91,0.81,0.735,0.00%,0.331,16.38,1.84,-0.86,2.50,2.10,39.97%,19.00%,1.12,20.04%,20.68%,3.91,187211000000.00,0.39,5.19%
FRAS4,5.79,3.95,0.79,0.461,0.00%,0.375,1.03,2.83,4.24,2.57,2.07,16.31%,12.01%,2.48,21.60%,20.10%,3.95,1968450000.00,0.56,25.54%
POSI3,8.45,3.95,0.73,0.284,4.95%,0.270,0.72,3.01,1.92,4.95,4.33,9.43%,7.27%,1.96,12.36%,18.40%,3.95,1648030000.00,0.84,24.45%
VINE3,17.20,4.04,0.65,0.577,0.00%,0.340,1.38,4.52,7.60,7.40,5.54,12.76%,14.42%,1.91,8.62%,16.14%,4.04,1118520000.00,0.60,2.21%
MTBR4,1.05,4.07,0.70,0.136,0.00%,0.176,6.08,1.94,-3.04,1.34,1.11,7.02%,3.36%,1.04,23.08%,17.31%,4.07,2239720000.00,0.60,8.48%
STBP11,14.40,4.11,1.12,1.058,0.00%,0.509,-35.39,2.65,-1.35,2.75,2.22,39.84%,25.76%,0.92,21.75%,27.33%,4.11,2218490000.00,0.24,27.20%
DAYC4,8.90,4.12,0.71,0.000,0.00%,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00,0.00%,17.33%,4.12,3009030000.00,0.00,8.15%
VINE5,17.64,4.14,0.67,0.592,0.00%,0.349,1.41,4.64,7.80,7.52,5.63,12.76%,14.42%,1.91,8.62%,16.14%,4.14,1118520000.00,0.60,2.21%
CPFP4,44.00,4.23,3.11,0.401,0.00%,0.300,-4.04,2.00,-0.48,5.04,4.44,20.07%,9.49%,0.79,17.25%,73.65%,4.23,750369000.00,5.25,9.60%
PINE4,4.30,4.24,0.84,0.000,10.61%,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00,0.00%,19.75%,4.24,1079860000.00,0.00,55.65%
VLID3,15.64,4.24,0.83,0.579,9.11%,0.468,1.36,2.93,4.44,3.21,2.53,19.76%,13.46%,2.82,21.82%,19.60%,4.24,1538910000.00,0.46,0.84%
BAZA3,98.43,4.36,0.90,0.000,6.71%,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00,0.00%,20.69%,4.36,6113980000.00,0.00,20.71%
BBAS3,26.61,4.45,0.90,0.000,7.88%,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00,0.00%,20.34%,4.45,168546000000.00,0.00,28.77%
PETR4,38.07,4.51,1.22,1.012,16.90%,0.465,41.08,2.22,-1.01,3.24,2.42,45.57%,22.56%,1.08,23.30%,27.02%,4.51,407636000000.00,0.76,19.89%
EALT3,10.93,4.53,0.98,0.477,4.22%,0.431,9.86,4.03,-2.83,5.90,4.36,11.85%,10.53%,1.12,11.46%,21.53%,4.53,252047000.00,0.50,20.66%
VBBR3,22.48,4.6,1.52,0.154,8.83%,0.583,2.00,4.55,-7.14,6.40,5.81,3.38%,3.35%,2.20,16.57%,33.06%,4.6,16556000000.00,0.95,20.41%
EALT4,11.11,4.61,0.99,0.485,4.57%,0.438,10.03,4.10,-2.88,5.96,4.41,11.85%,10.53%,1.12,11.46%,21.53%,4.61,252047000.00,0.50,20.66%
GPIV33,3.66,4.62,0.40,2.173,0.00%,0.230,2.21,3.45,18.19,1.80,1.80,62.97%,48.92%,2.97,7.93%,8.58%,4.62,1495660000.00,0.06,-9.75%
ALLD3,7.80,4.67,0.46,0.124,26.01%,0.211,0.66,4.13,1.61,5.25,3.91,2.99%,2.64%,1.89,8.43%,9.87%,4.67,1582950000.00,0.38,3.45%
VCPA4,26.01,4.72,1.02,0.789,0.00%,0.353,3.76,2.01,-1.00,4.05,2.99,39.18%,16.75%,1.46,22.95%,21.57%,4.72,14149000000.00,1.46,22.71%
SCAR3,22.99,4.74,0.78,1.022,7.58%,0.387,2.63,2.60,-1.57,4.86,4.43,39.28%,21.38%,2.38,16.38%,16.52%,4.74,1695040000.00,0.87,33.29%
BNBR3,116.00,4.78,0.89,0.000,4.98%,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00,0.00%,18.55%,4.78,11299100000.00,0.00,14.35%
PETR3,40.77,4.83,1.30,1.084,15.78%,0.498,44.00,2.38,-1.08,3.39,2.54,45.57%,22.56%,1.08,23.30%,27.02%,4.83,407636000000.00,0.76,19.89%
CLSC3,72.00,4.86,0.89,0.267,3.85%,0.223,-21.07,2.95,-0.48,5.39,4.00,9.06%,5.49%,0.96,8.87%,18.30%,4.86,3120450000.00,1.02,6.21%
BRAP3,18.45,4.93,0.88,0.000,14.63%,0.877,11.10,-338.91,11.14,-305.69,-305.69,0.00%,0.00%,12.26,-0.28%,17.91%,4.93,8214080000.00,0.00,0.00%
SAPR3,5.13,4.96,0.77,1.186,4.93%,0.391,5.61,2.86,-1.24,4.51,3.81,41.54%,23.91%,1.66,15.44%,15.44%,4.96,10123600000.00,0.63,7.98%
HBRE3,5.73,5.04,0.29,3.837,0.00%,0.123,2.40,1.36,-0.39,4.04,4.02,281.17%,161.43%,1.85,9.48%,5.78%,5.04,2030120000.00,0.68,27.34%
GOAU4,10.52,5.05,0.61,0.164,13.61%,0.141,0.56,1.37,2.08,1.97,1.41,11.98%,9.67%,2.82,12.21%,12.16%,5.05,17694200000.00,0.62,16.55%
BRAP4,18.97,5.07,0.91,0.000,15.65%,0.901,11.42,-348.46,11.46,-315.24,-315.24,0.00%,0.00%,12.26,-0.28%,17.91%,5.07,8214080000.00,0.00,0.00%
TKNO4,70.00,5.12,0.70,0.733,5.92%,0.551,1.43,5.39,1.59,3.81,3.27,13.60%,14.33%,3.23,13.64%,13.66%,5.12,295436000.00,0.01,16.74%
GOAU3,10.77,5.17,0.63,0.168,13.29%,0.144,0.57,1.40,2.13,2.01,1.44,11.98%,9.67%,2.82,12.21%,12.16%,5.17,17694200000.00,0.62,16.55%
SAPR11,26.97,5.21,0.81,1.247,5.06%,0.411,5.89,3.00,-1.31,4.65,3.93,41.54%,23.91%,1.66,15.44%,15.44%,5.21,10123600000.00,0.63,7.98%
